comentario_esp,mp_tag,calidad,facilidad,materia,calif_Obtenida,fecha
Buen profesor,BUENO,10.0,4.0,Microeconomía,9.5,20/Oct/2014
"Aprendí más con él en sus clases de 5 minutos que con otros maestros que daban su clase completa
Jurisprudencia Resolución jurídica con base en principios y doctrinas",BUENO,10.0,10.0,Teoría del Derecho,9.0,04/Dic/2016
Le importa mas como vas vestido incluso no te deja entrar a su clase por no estar presentable para la institucion,BUENO,7.0,6.0,Estadistíca,7.5,08/Sep/2021
Demasiado especial con la imagen del alumno parece que califica más el peinado que la tarea,REGULAR,6.0,6.0,FCQ/Estadística,7.5,30/Ago/2021
con esta maestra necesitas tragajar si no te veras en segundas,BUENO,8.0,6.0,algebra y fisica,8.5,27/May/2010
Buena profesora es muy importante poner atención en las clases,BUENO,10.0,8.0,Modelación de procesos mediante algebra lineal,9.0,14/Sep/2023
La verdad pasar la materia fue pan comido el examen estuvo relativamente sencillo y  las tareas también es super buen onda y siempre te ríes en sus clases,BUENO,9.0,10.0,Modelación de procesos mediante algebra lineal,9.5,09/Sep/2023
Me agrada más su clase en presencial pero su clase es buena Sus exámenes suelen ser largos,BUENO,9.0,6.0,Calculo vectorial,8.0,17/Jul/2021
Sufres pero aprendes,BUENO,10.0,4.0,Teoría de anillos y campos,7.0,05/Ago/2020
Muy difícil esta maestra y no enseña nada,MALO,2.0,2.0,Medicina,8.5,27/May/2020
Muy buena lectora,BUENO,9.0,8.0,Psicoanálisis,9.0,28/Ago/2014
Es un excelente Maestro ya que nos ayuda mucho en nuestro crecimiento personal además de entender las matemáticas Hace el papel de un tutor sin serlo sin duda el mejor maestro que he tenido en toda mi vida un ejemplo a seguir un abrazo a mi maestro con cariño,BUENO,10.0,8.0,Matemáticas,10.0,14/Dic/2010
siempre excelente maestro siempre tiene las palabras correctas para nosotros los alumnos,BUENO,10.0,10.0,Matematicas,10.0,15/Jun/2010
Es un excelente profesor motivador y más que eso un buen guía Imparte la materia de matemáticas pero también te ayuda con conceptos de física e informática Te sabe escuchar y te trata como persona no como un numero más,BUENO,9.0,8.0,Matemáticas,9.5,19/Jul/2008
Falta mucho,REGULAR,4.0,2.0,Historia,10.0,21/Jul/2022
No hay examen con él Pero califica al azar,MALO,2.0,2.0,Introducción a la Ciencia Política,10.0,26/Jul/2017
PESIMO PARA DAR CLASE AUNQUE ARGUMENTES DE MANERA CORRECTA SIEMPRE DIRA QUE EL ESTA BIEN AUN Y CUANDO NO ES ASI,MALO,2.0,2.0,LOGISTICA,9.5,26/May/2020
Es una excelente profesora brinda mucho apoyo personal y sus clases son excelentes explica perfectamente sus clases y resuelve tus dudas a la perfección Te recomiendo practicar todas las reacciones que te enseñe porque los mecanismos son muy importantes Sin duda volvería a llevar su clase,BUENO,10.0,4.0,Fundamentos de Síntesis Organica,7.5,21/Ago/2022
La mejor maestra que tiene la FCQ un amor de persona y una excelente maestra explica todo super bien y atiende cada duda que tengas sus exámenes sí son un poco complicados pero si pones atención se harán más sencillos,BUENO,10.0,4.0,Síntesis de química orgánica,9.5,27/May/2022
La mejor profe que me he topado en la carrera explica muuuuy bien es muy comprensiva con problemas personales y es muy amable para resolver dudas sus examenes son bastante largos,BUENO,10.0,4.0,fundamentos de quimica organica,7.5,08/Dic/2021
"Hagan una nueva escala para esta Dra por favor 
Excelentísima 1000010 
No es facil pero sabe muchísimo y aprendes un montón",BUENO,10.0,6.0,Síntesis orgánica,8.0,09/Sep/2021
Es muy  buena maestra te explica las veces que necesites es muy respetuosa y clara con sus explicaciones Debes ser muy claro con los mecanismos de acción pero si tuviera que llevar otra vez esa materia la metería con ella,BUENO,9.0,8.0,FCQ/Orgánica,7.5,30/Ago/2021
Una excelente maestra muy completa y clara cada sesión inspira a aprender mas de la química orgánica ayuda siempre a los estudiantes ejercicios todas las sesiones y exámenes muy bien echos no sencillos porque es química orgánica pero si muy bien echos 100100,BUENO,10.0,4.0,Química Orgánica Básica /  Síntesis de Química Orgánica,7.5,23/Jul/2021
Excelente maestra de las mejores que he conocido Explica muy bien su clase da buena retroalimentación y es muy amable,BUENO,10.0,10.0,Fundamentos de Síntesis Orgánica,24.0,08/Feb/2021
Es excelente explicando se nota que le gusta impartir su clase y compartir su conocimiento con los estudiantes Da buena retroalimentación sin embargo cuando califica es muy detallista en las respuestas LA AMO,BUENO,10.0,4.0,Fundamentos de Síntesis Orgánica,23.0,08/Jun/2020
Muy buena profesora se interesa por que sus alumnos aprendan y utiliza metodos de examén no convencionales donde aprendes lo que estudiaste y lo que se te olvido Tomaría siempre clases con ella,BUENO,10.0,6.0,Farmacología,9.0,06/Mar/2020
Excelentes clases,BUENO,10.0,10.0,Síntesis orgánica,7.0,15/Oct/2019
La mejor maestra de la facultad Explica MUY bien,BUENO,10.0,10.0,Q. Orgánica,10.0,05/Feb/2015
