comentario_esp,mp_tag,calidad,facilidad,materia,calif_Obtenida,fecha
Es un ejemplo a seguir,BUENO,9.0,10.0,Cualquiera,10.0,23/Jul/2011
HORA Y MEDIA QUE PARECE MEDIA APRENDES MUCHÍSIMO Y TE OBLIGA A SER ANALÍTICO TRANSMITE MUCHO DE SU EXPERIENCIA SIN PRESUNCIONES RESPETUOSO Y AUN FUERA DE CLASE AYUDA MUCHO DE LO MEJOR,BUENO,10.0,10.0,CONTRATOS EMPRESARIALES,10.0,02/Sep/2016
"De lo mejor en cuanto a conocimiento y exposición no deja dudas sin resolver
Clase amena sin perdidas de tiempo
Gracias maestro",BUENO,10.0,10.0,Formas empresariales,10.0,18/Mar/2015
Excelente clase de contratos explica hasta que entendemos todo desde lo básico hasta lo profundo Exposición clara y sobre todo muy útil De lo mejor como persona transmite lo que es respeto,BUENO,10.0,10.0,Contratos empresariales,9.0,08/Feb/2014
"Exelente expositor y conocedor del tema
Puntual cumplido y respetuoso",BUENO,10.0,10.0,personas,9.0,02/Jul/2013
Mucha disciplina y no pierde ni un minuto de clase pero aprendes muchisimo sobre todo que obliga a pensar juridicamente De lo mejor en el posgrado de Derecho,BUENO,10.0,10.0,formas empresariales,10.0,14/Mar/2012
Claro como fue obvio no aceptó a la resbalosa y se le acusa de lo que no es Es un verdadero maestro por vocación ya que no solo sabe mucho sino sabe transmitirlo de una forma clara y concisa y como pocos nos lleva a la reflexión Fui su alumna en especialidad de la UNAM y es todo un caballero,BUENO,10.0,4.0,personas,10.0,03/Feb/2012
Pobre niña confunde lo que es la amabilidad y el buen trato seguramente trata solo con vulgares y rusticos y el día que le abren la puerta se confunde Es excelente profesor y sobre todo muy respetuoso más aún con las mujeres  sabe su materia y es excelente expositor y persona Pocos como él Muy recomedable,BUENO,10.0,6.0,Personas,9.0,01/Feb/2012
exagenrada disciplina dentro de clases pero tambien execelente conocimiento fui alumno de la materia de obligaciones en la universidad cristobal colon de veracruz,BUENO,10.0,10.0,obligaciones,9.0,15/Dic/2010
PROFESOR DE EXCELENCIA,BUENO,10.0,4.0,TITULOS DE CRÉDITO,9.0,22/Ene/2010
Excelente académico domina a la perfección el tema muy educado y trato amable si estudias duro aprobaras eso sí no regala las calificaciones,REGULAR,6.0,4.0,Teoría de la culpabilidad,10.0,27/Oct/2019
Las clases con el Profesor son súper recomendables domina el tema y sabe transmitir sus conocimientos las clases son amenas dinámicas y llenas de mucha información debes leer mucho a veces manda material como lecturas pide una tesina para punto extra se va a final no difícil,BUENO,8.0,6.0,Derecho Procesal Penal,9.0,23/Ene/2017
Un hombre muy respetable sabe muy bien su materia sus clases son claras e interesantes califica con el examen final le da valor a la participaciòn en clase,BUENO,10.0,8.0,DERECHO PROCESAL PENAL,10.0,17/Ago/2015
En honor a lo justo tengo que recomendarlo porque es excelente profesor sabe muchoresponde todas tus dudas aprendes te trata con respeto y amabilidad sin lugar a duda de lo mejor que tiene la UNAM examen nada dificil opcion multiple,BUENO,10.0,10.0,DERECHO PROCESAL PENAL,10.0,19/Ene/2015
