comentario_esp,mp_tag,calidad,facilidad,materia,calif_Obtenida,fecha,comentario_eng
Sabe de lo que habla solo que a veces puede ser aburrido Un poco exigente con los trabajos muy teórico,BUENO,7.0,6.0,Audiovisual,8.5,25/May/2020,Knows what he is talking about only that sometimes he can be boring A bit demanding with the work Very theoretical
Con el ahuevo pasas la materia Su gentileza lo expone a que a veces los alumnos se salten su clase,BUENO,8.0,10.0,Química,10.0,09/May/2022,With the egg you pass the subject His gentleness exposes him to the fact that sometimes students skip his class.
Falta muchísimo casi no enseña Sus clases a veces dan flojera pero es medio barco calificando Si pueden evitarlo denle,REGULAR,4.0,6.0,Comodín,10.0,25/May/2020,"His classes are sometimes lame but he's a bit of a boat grading if you can help it, give it to him."
Prepárate para no aprender nada de planeación Hace de su clase un programa de invitados especiales que dejan poco en los estudiantes A algunos les gusta que lleve invitados pero no aprendes nada nada,MALO,3.0,6.0,Seminario de planeación en comunicación,9.0,25/May/2020,Be prepared to learn nothing about planning He makes his class a special guest program that leaves little on the students Some like him to bring guests but you learn nothing at all
Hace preguntas antes de cada práctica por lo que es necesario llegar leído Le gusta mucho la participación grupal Nunca puso examen Explicaciones muy claras Ofrece la posibilidad de verificar los reportes de laboratorio fuera de horas de clase antes de entregarlos La recomiendo,BUENO,9.0,8.0,Laboratorio biología,9.5,08/May/2017,"Asks questions before each practical, so it is necessary to arrive read. Likes group participation very much Never gave a test Very clear explanations Offers the possibility to check lab reports outside class hours before handing them in."
Excelente maestra y muy linda con el trato a sus alumnos Accesible para proyectos extraclase,BUENO,10.0,6.0,Biología Celular,10.0,19/Ago/2016,Excellent teacher and very nice with the way she treats her students Accessible for extraclassroom projects
Le falta experiencia,REGULAR,6.0,6.0,Biología,7.0,17/Abr/2014,Lack of experience
Califica a todos igual si participas puede que te suba No entiendes casi nada si no has llevado ecuaciones antes como la mayoría que toma su clase Su clase es confusa,REGULAR,4.0,4.0,Mecánica Vectorial para Ingenieros II,8.5,10/May/2020,He grades everyone the same if you participate you may get a raise You understand almost nothing if you have not taken equations before like most who take his class His class is confusing.
Al momento de dar la clase es un poco confusa su explicación pero si deja claro al momento de realizar sus tareas Si no comprendes en la siguiente clase se toma el tiempo de dejar el tema claro Recomendable no faltar,REGULAR,5.0,8.0,Matemáticas II,9.0,09/Ago/2017,At the time of giving the class is a little confusing his explanation but if you do not understand at the next class he takes the time to make the subject clear.
El profesor evalúa de la forma más integral que puede tomando en cuenta el desarrollo de todo el semestre y no solo el resultado del examen Muy agradable su clase pero depende de uno mismo pasar,BUENO,10.0,10.0,Español Superior,10.0,15/Sep/2021,The professor evaluates in the most comprehensive way he can taking into account the development of the whole semester and not only the result of the exam Very nice his class but it depends on oneself to pass.
Disfruté mucho las clases del profe Avechuco Explica muy bien y siempre está dispuesto a brindar asesorías,BUENO,10.0,10.0,Español Superior,10.0,25/Mar/2021,I really enjoyed Prof. Avechuco's classes. He explains very well and is always willing to give advice.
Todo mundo me decía que las clases de Avilés eran muy buenas pero con nosotros dejó mucho a desear Casi todo lo que decía en clase lo sacaba de un solo libro muy a la antigua  Está bien porque sabe de lo que está hablando solo que las clases son muy cerradas a sus opiniones y a las opiniones D1,BUENO,8.0,6.0,Literatura Española,9.5,26/Sep/2018,"Everyone told me that Avilés' classes were very good but with us he left a lot to be desired Almost everything he said in class was taken from a single book, very old-fashioned He's good because he knows what he's talking about but the classes are very closed to his opinions and opinions D1"
Si participas en su clase te va muy bien los exámenes son muy similares a los ejercicios que deja de tarea,BUENO,9.0,10.0,Cálculo II,10.0,18/Dic/2021,"If you participate in his class you do very well, the exams are very similar to the exercises he leaves as homework."
Supongo que lo recomiendo si quieres sacar un 100 fácil Es un maestro muy desactualizado y no muestra saber mucho de las clases que imparte,MALO,2.0,10.0,Ingeniería de costos,9.5,09/May/2022,I guess I recommend him if you want to get an easy 100 He is a very outdated teacher and does not show he knows much about the classes he teaches.
Maneja bien las tecnologías  a pesar de su edad le gusta hacer chistes y pasar esta clase es muy sencillo solo es necesario cumplir con unos cuestionarios de un libro que él proporciona,BUENO,10.0,10.0,Introducción a la Ingeniería Química,10.0,27/May/2021,"He handles technology well despite his age, he likes to make jokes and passing this class is very simple, it is only necessary to complete some questionnaires from a book that he provides."
La clase en si es muy pesada y el maestro si te ayuda mucho,REGULAR,6.0,6.0,Diseño de Equipo I,8.5,22/Feb/2014,The class itself is very heavy and the teacher is very helpful.
Muy buen profesor no explica muy a fondo pero igual se le entiende y explica con mucha claridad Muy actualizado a pesar de su edad,BUENO,9.0,10.0,Introducción a la Ingeniería Química,9.5,14/Dic/2013,Very good teacher does not explain very thoroughly but he is still understood and explains very clearly Very updated despite his age.
Lleve  bioestadistica 1 y 2 con ella online es obligatorio descargar un programa llamado SPSS es muy importante participar hace preguntas al azar todas las clases y quita asistencia si respondes mal o no contestas o respondes a medias al igual que se hacen actividades y se suben al final de clase,REGULAR,6.0,4.0,Bioestadistica 2,7.5,17/Ene/2021,Take biostatistics 1 and 2 with her online is mandatory to download a program called SPSS is very important to participate randomly asks questions every class and takes away assistance if you answer wrong or do not answer or answer half as well as activities are made and uploaded at the end of class.
Todo el peso de la materia está ti el grupo da la clase y son temas complejos añade comentarios responde dudas y correciones durante las exposiciones,BUENO,8.0,2.0,Embriología,8.0,12/Ago/2021,"All the weight of the subject is on you the group gives the class and they are complex subjects adds comments, answers doubts and corrections during the expositions."
